batch class_loss class_acc conf_loss conf
0 2.2670 15.62 0.9283 57.81
10 2.1097 21.88 0.7879 56.21
20 1.7925 65.62 0.5999 55.02
30 1.8296 50.00 0.7209 54.90
40 1.6849 50.00 0.6765 55.33
50 1.4438 68.75 0.5925 56.57
60 1.3872 59.38 0.6105 57.66
70 1.1970 81.25 0.5793 58.86
80 1.3365 62.50 0.6571 59.02
90 1.0850 81.25 0.5849 60.41
100 1.0898 71.88 0.5623 61.70
110 1.1173 71.88 0.6143 62.16
120 1.2079 75.00 0.5989 62.01
130 1.1374 62.50 0.5334 64.36
140 1.1717 62.50 0.5425 63.03
150 1.1088 65.62 0.5656 66.07
160 1.0254 71.88 0.5097 65.54
170 1.1787 65.62 0.6088 65.60
180 0.9292 78.12 0.5260 65.70
190 0.6988 81.25 0.4016 67.42
200 0.7574 78.12 0.4700 68.02
210 0.7638 81.25 0.4492 67.60
220 0.9850 68.75 0.4744 66.33
230 0.8163 75.00 0.5323 67.84
240 0.8125 81.25 0.5341 68.56
250 1.1115 68.75 0.4744 70.00
260 0.7583 75.00 0.5019 68.91
270 0.6795 75.00 0.4173 69.77
280 0.7253 75.00 0.4698 70.34
290 0.8384 68.75 0.4870 69.72
300 0.6739 75.00 0.4219 68.69
310 0.6915 75.00 0.4612 72.01
320 0.7630 75.00 0.4838 71.42
330 0.9671 65.62 0.5609 70.15
340 0.8742 71.88 0.4541 69.15
350 1.1394 43.75 0.6711 69.53
360 0.7701 68.75 0.4499 71.10
370 1.0228 62.50 0.4674 69.47
380 0.8099 65.62 0.5299 70.19
390 0.5960 81.25 0.4210 73.10
400 0.6546 84.38 0.4365 72.13
410 0.6655 81.25 0.4341 72.80
420 1.0225 65.62 0.5009 69.57
430 0.5975 81.25 0.4438 70.24
440 0.7869 75.00 0.4351 73.51
450 0.6390 78.12 0.4336 69.93
460 0.8286 68.75 0.5748 72.54
470 0.7597 65.62 0.5176 73.57
480 0.5879 81.25 0.3887 73.66
490 0.7015 75.00 0.4057 69.54
500 0.8027 71.88 0.5643 73.72
510 1.1112 59.38 0.6232 71.28
520 0.9153 59.38 0.6701 69.81
530 0.8629 68.75 0.5687 73.18
540 0.7245 68.75 0.4550 71.16
550 0.5934 84.38 0.3860 74.08
560 0.8172 68.75 0.5178 70.70
570 0.6235 78.12 0.4769 71.78
580 0.6807 71.88 0.5365 72.48
590 0.5505 81.25 0.4445 71.41
600 0.7088 65.62 0.4453 72.74
610 0.6253 81.25 0.5098 72.28
620 0.7144 78.12 0.4300 72.17
630 1.0367 62.50 0.5467 71.27
640 0.7255 71.88 0.4387 71.30
650 0.7642 71.88 0.5037 69.65
660 0.5899 78.12 0.4481 71.61
670 0.9019 65.62 0.5834 71.46
680 0.5053 81.25 0.3922 73.04
690 0.4427 90.62 0.3537 72.83
700 0.7857 62.50 0.4333 71.85
710 0.6828 75.00 0.4275 72.49
720 0.7631 59.38 0.5553 71.17
730 0.6097 78.12 0.3448 71.17
740 0.7669 68.75 0.5545 72.37
