batch class_loss class_acc conf_loss conf
0 1.0447 65.62 0.6223 56.05
10 1.0965 59.38 0.3853 58.73
20 0.8236 75.00 0.5652 58.52
30 0.9412 68.75 0.5308 63.61
40 1.0924 62.50 0.5567 62.62
50 1.0579 59.38 0.5552 65.20
60 1.1321 65.62 0.4319 65.38
70 1.1965 65.62 0.5932 63.71
80 1.1377 56.25 0.5269 65.08
90 1.0861 65.62 0.4996 67.03
100 0.8645 71.88 0.4066 61.23
110 0.6789 84.38 0.4334 62.82
120 0.9592 71.88 0.3929 64.15
130 1.2161 53.12 0.5377 66.69
140 1.2039 56.25 0.5127 63.10
150 1.1467 68.75 0.5050 64.64
160 0.8227 65.62 0.3428 65.98
170 1.1371 62.50 0.3663 63.18
180 0.9509 68.75 0.5769 62.41
190 1.3024 68.75 0.6523 64.47
200 0.9883 71.88 0.3394 65.19
210 1.5974 50.00 0.6041 65.13
220 1.0830 56.25 0.5077 60.18
230 1.2121 56.25 0.5612 61.18
240 1.2433 56.25 0.6945 61.67
250 1.0396 56.25 0.4602 61.28
260 1.2248 59.38 0.5870 64.47
270 1.2903 53.12 0.5574 63.80
280 0.9548 68.75 0.4732 64.69
290 0.7357 78.12 0.3604 63.20
300 0.9671 65.62 0.4095 64.51
310 1.3112 65.62 0.4481 62.94
320 1.1861 53.12 0.5456 64.08
330 1.2192 62.50 0.5285 59.57
340 1.0208 65.62 0.4659 55.69
350 0.8431 68.75 0.3348 62.40
360 0.9740 71.88 0.5472 64.13
370 0.8875 75.00 0.5098 65.28
380 1.4031 53.12 0.7456 57.70
390 0.9474 71.88 0.4313 59.09
400 1.0163 68.75 0.4936 63.03
410 1.4211 50.00 0.5919 62.71
420 1.1257 59.38 0.4263 56.32
430 0.9854 68.75 0.5046 56.04
440 0.9566 65.62 0.3086 63.78
450 1.1474 56.25 0.3559 58.48
460 1.5261 50.00 0.6053 57.68
470 0.9536 71.88 0.5333 60.66
480 1.0385 68.75 0.4687 60.49
490 0.9329 62.50 0.3558 57.23
500 1.3210 56.25 0.5630 65.53
510 1.1838 59.38 0.4710 60.15
520 1.3259 46.88 0.5339 59.35
530 0.9228 68.75 0.3847 64.70
540 0.9891 68.75 0.4042 66.02
550 0.9885 65.62 0.5040 65.44
560 1.1040 68.75 0.3919 63.48
570 1.2948 53.12 0.5068 60.87
580 1.0227 56.25 0.5373 60.89
590 1.2115 53.12 0.6709 59.76
600 1.1183 62.50 0.3003 62.79
610 1.2404 65.62 0.6456 66.52
620 1.3592 40.62 0.4970 59.46
630 0.9658 62.50 0.4548 63.19
640 0.9777 65.62 0.4016 64.15
650 1.2833 65.62 0.3725 64.86
660 0.9489 65.62 0.5981 64.03
670 1.3511 56.25 0.5155 61.51
680 1.1539 56.25 0.5029 65.12
690 0.8965 75.00 0.5199 63.16
700 0.9333 68.75 0.4409 61.60
710 1.0043 62.50 0.3373 63.45
720 0.9419 71.88 0.4398 62.23
730 1.0245 65.62 0.4296 61.01
740 1.0344 59.38 0.4731 63.03
750 1.3223 53.12 0.4790 61.17
760 1.0686 56.25 0.4108 59.23
770 1.1438 50.00 0.4641 58.88
780 1.3235 59.38 0.5598 62.04
790 1.1879 62.50 0.4387 61.54
800 1.2303 62.50 0.4697 62.41
810 1.2799 50.00 0.5361 61.95
820 0.9918 59.38 0.3455 60.93
830 1.2816 50.00 0.5288 62.37
840 1.3717 56.25 0.4649 61.72
850 1.2794 46.88 0.4460 57.71
860 1.2043 56.25 0.5147 62.29
870 1.4529 46.88 0.5343 61.73
880 0.5415 84.38 0.4377 66.26
890 1.0591 68.75 0.4786 63.79
900 1.4498 46.88 0.6336 57.40
910 1.3546 62.50 0.4524 60.08
920 1.1808 56.25 0.4892 61.22
930 0.9122 75.00 0.3852 65.64
940 0.9303 75.00 0.3894 64.70
950 1.0100 65.62 0.6938 66.76
960 1.3147 59.38 0.5164 62.08
970 1.1982 62.50 0.5328 61.73
980 0.8535 75.00 0.4475 66.14
990 1.4518 43.75 0.5973 59.81
1000 0.7600 75.00 0.4239 63.82
1010 1.4305 62.50 0.7740 64.70
1020 1.3571 53.12 0.5381 66.91
1030 1.1044 65.62 0.5357 65.70
1040 1.1548 56.25 0.4431 63.47
1050 0.9037 71.88 0.4605 62.00
1060 1.4015 59.38 0.5586 61.97
1070 1.1147 62.50 0.5195 62.63
1080 0.9004 68.75 0.5091 65.86
1090 0.9799 68.75 0.6334 64.29
1100 1.0216 65.62 0.4602 62.90
1110 0.8724 71.88 0.3933 65.24
1120 1.1527 62.50 0.4384 65.14
1130 1.0338 75.00 0.5297 64.12
1140 1.2057 59.38 0.5660 60.70
1150 1.1951 59.38 0.6172 58.28
1160 1.0249 68.75 0.4857 59.48
1170 1.3062 53.12 0.4987 60.81
1180 1.0401 65.62 0.6766 64.57
1190 1.0377 68.75 0.2973 61.20
1200 0.7533 75.00 0.4854 63.19
1210 0.9149 59.38 0.4313 65.00
1220 1.1469 65.62 0.3715 63.57
1230 1.0152 59.38 0.5308 61.53
1240 0.9335 71.88 0.5331 63.42
1250 1.1707 68.75 0.4751 62.08
1260 1.1827 50.00 0.4383 58.46
1270 0.9192 68.75 0.4287 58.45
1280 1.2034 56.25 0.4502 63.37
1290 1.1965 59.38 0.5726 64.45
1300 1.3968 53.12 0.5459 63.04
1310 1.1381 56.25 0.4903 63.92
1320 1.0997 71.88 0.5586 63.72
1330 1.1583 65.62 0.4232 61.58
1340 1.2399 53.12 0.5040 66.62
1350 1.2653 50.00 0.4699 64.28
1360 0.9814 65.62 0.3665 64.68
1370 1.0677 59.38 0.5297 59.85
1380 1.1902 50.00 0.8299 65.25
1390 0.8543 75.00 0.5524 62.35
1400 1.0909 68.75 0.5020 66.43
1410 1.3644 56.25 0.6087 66.06
1420 1.2298 53.12 0.5238 64.53
1430 1.0337 62.50 0.4379 64.64
1440 0.8188 75.00 0.4020 65.36
1450 1.2563 46.88 0.6082 64.80
1460 1.0543 59.38 0.6324 63.19
1470 1.1853 59.38 0.5168 57.49
1480 1.5979 53.12 0.5019 63.03
1490 1.2908 59.38 0.4952 60.62
1500 0.8566 71.88 0.4760 58.96
1510 1.2546 50.00 0.5642 59.16
1520 1.4219 53.12 0.6035 58.62
1530 1.1875 56.25 0.6618 62.24
1540 1.2843 56.25 0.7156 69.27
1550 0.9689 68.75 0.3910 66.17
1560 0.9704 71.88 0.3415 62.13
1570 0.8010 71.88 0.3085 63.55
1580 0.8803 71.88 0.5043 60.60
1590 1.3949 56.25 0.4549 61.98
1600 1.1209 62.50 0.5847 63.27
1610 1.1915 59.38 0.5054 64.66
1620 0.9097 68.75 0.4020 60.14
1630 0.9005 65.62 0.4872 61.05
1640 1.1969 59.38 0.4003 60.39
1650 0.9580 68.75 0.4636 66.51
1660 1.0874 62.50 0.4647 60.79
1670 1.2792 56.25 0.5523 60.60
1680 0.9257 68.75 0.4555 60.34
1690 1.0335 62.50 0.4530 64.25
1700 0.9381 65.62 0.5449 65.47
1710 1.4000 46.88 0.5660 61.45
1720 1.0099 65.62 0.3925 59.17
1730 0.6367 90.62 0.5134 61.65
1740 1.0592 59.38 0.4965 61.06
1750 0.9172 71.88 0.4852 61.99
1760 1.4165 56.25 0.4848 61.70
1770 1.1544 59.38 0.4785 58.95
1780 0.9346 65.62 0.4690 61.49
1790 1.0671 62.50 0.5009 60.99
1800 1.0296 65.62 0.4160 64.84
1810 1.2528 56.25 0.5380 69.46
1820 1.1867 59.38 0.5057 67.69
1830 1.2756 50.00 0.4445 62.66
1840 0.9335 65.62 0.6604 61.95
1850 0.9927 71.88 0.4450 62.90
1860 0.9981 59.38 0.3971 67.56
1870 0.8710 68.75 0.6460 66.53
